frame,speed_mps,dist_m,total_dist_m
1,0.24,0.0,0.0
2,0.48,0.02,0.02
3,0.56,0.02,0.05
4,0.46,0.01,0.06
5,0.22,0.01,0.07
6,0.29,0.0,0.07
7,0.14,0.01,0.08
8,0.37,0.0,0.08
9,0.37,0.02,0.11
10,1.06,0.01,0.12
11,1.55,0.07,0.19
12,1.89,0.07,0.26
13,2.15,0.05,0.31
14,1.67,0.1,0.41
15,1.92,0.02,0.43
16,1.18,0.07,0.5
17,1.18,0.02,0.52
18,0.98,0.02,0.55
19,1.26,0.05,0.6
20,1.17,0.05,0.65
21,1.08,0.01,0.66
22,0.9,0.04,0.71
23,0.97,0.03,0.74
24,0.83,0.02,0.76
25,1.86,0.03,0.79
26,1.87,0.13,0.93
27,2.89,0.02,0.95
28,3.72,0.13,1.08
29,4.86,0.22,1.3
30,4.23,0.14,1.43
31,2.35,0.07,1.5
32,0.99,0.03,1.53
33,1.06,0.0,1.53
34,1.64,0.08,1.61
35,3.16,0.09,1.7
36,4.17,0.15,1.85
37,4.27,0.18,2.03
38,3.21,0.1,2.12
39,2.37,0.05,2.17
40,1.84,0.09,2.26
41,1.61,0.05,2.31
42,0.69,0.02,2.33
43,0.46,0.0,2.33
44,0.45,0.02,2.35
45,0.45,0.02,2.38
46,0.72,0.0,2.38
47,0.99,0.05,2.43
48,1.7,0.05,2.48
49,7.51,0.07,2.55
50,9.41,0.63,3.18
51,13.21,0.24,3.42
52,7.93,0.45,3.87
53,6.25,0.1,3.97
54,3.17,0.07,4.04
55,3.08,0.14,4.19
56,3.04,0.09,4.28
57,1.96,0.07,4.35
58,1.28,0.04,4.38
59,1.27,0.02,4.41
60,1.15,0.07,4.47
61,1.4,0.02,4.5
62,0.86,0.05,4.55
63,0.7,0.01,4.56
64,0.28,0.01,4.57
65,0.76,0.01,4.57
66,1.41,0.06,4.64
67,2.22,0.07,4.71
68,2.3,0.09,4.8
69,1.8,0.07,4.87
70,2.46,0.02,4.89
71,3.51,0.15,5.04
72,3.94,0.17,5.22
73,3.24,0.07,5.28
74,1.64,0.08,5.37
75,1.28,0.01,5.38
76,0.57,0.03,5.41
77,0.51,0.01,5.42
78,1.07,0.01,5.43
79,1.07,0.09,5.52
80,1.07,0.01,5.53
81,0.42,0.01,5.54
82,1.61,0.02,5.56
83,2.82,0.13,5.69
84,4.28,0.13,5.82
85,3.54,0.17,5.99
86,2.7,0.06,6.05
87,1.08,0.04,6.09
88,0.72,0.01,6.1
89,1.11,0.02,6.12
90,2.34,0.08,6.2
91,3.12,0.13,6.33
92,2.59,0.1,6.43
93,2.13,0.03,6.46
94,2.62,0.08,6.54
95,3.57,0.15,6.69
96,4.07,0.12,6.82
97,3.35,0.13,6.95
98,2.38,0.08,7.03
99,1.96,0.03,7.05
100,2.33,0.09,7.15
101,2.47,0.11,7.26
102,1.96,0.04,7.3
103,1.39,0.04,7.34
104,1.22,0.06,7.4
105,1.28,0.03,7.42
106,1.38,0.05,7.47
107,2.07,0.07,7.54
108,2.49,0.09,7.63
109,2.43,0.09,7.72
110,1.78,0.06,7.78
111,1.36,0.03,7.81
112,1.44,0.05,7.86
113,1.44,0.07,7.92
114,1.64,0.03,7.95
115,1.53,0.07,8.02
116,1.44,0.06,8.08
117,0.98,0.02,8.1
118,1.56,0.02,8.12
119,1.96,0.11,8.23
120,2.69,0.06,8.29
121,2.22,0.09,8.39
122,1.75,0.07,8.45
123,1.03,0.01,8.47
124,0.84,0.02,8.49
125,1.59,0.05,8.54
126,2.04,0.09,8.63
127,2.08,0.07,8.69
128,1.45,0.05,8.75
129,1.14,0.03,8.77
130,1.28,0.04,8.81
131,1.89,0.07,8.87
132,1.75,0.09,8.96
133,1.33,0.02,8.98
134,0.68,0.02,9.01
135,1.11,0.02,9.03
136,2.06,0.07,9.09
137,4.39,0.12,9.21
138,5.41,0.26,9.47
139,6.99,0.17,9.64
140,5.36,0.28,9.91
141,4.18,0.09,10.0
142,2.15,0.05,10.05
143,2.45,0.07,10.13
144,2.7,0.12,10.25
145,2.69,0.07,10.32
146,1.68,0.07,10.39
147,1.74,0.02,10.42
148,1.83,0.08,10.5
149,2.75,0.08,10.58
150,2.7,0.11,10.69
151,2.8,0.08,10.77
152,2.0,0.09,10.86
153,1.94,0.03,10.89
154,2.09,0.07,10.96
155,2.86,0.11,11.07
156,2.66,0.11,11.18
157,2.42,0.05,11.23
158,1.47,0.08,11.31
159,1.41,0.01,11.32
160,1.21,0.04,11.37
161,2.02,0.06,11.43
162,3.04,0.1,11.53
163,3.06,0.15,11.67
164,2.41,0.06,11.74
165,1.78,0.03,11.77
166,1.99,0.08,11.85
167,2.53,0.09,11.94
168,2.55,0.08,12.02
169,2.25,0.09,12.11
170,1.49,0.06,12.16
171,0.99,0.01,12.17
172,0.88,0.04,12.2
173,1.37,0.04,12.25
174,2.1,0.06,12.3
175,2.92,0.11,12.41
176,2.86,0.13,12.54
177,2.94,0.05,12.59
178,1.97,0.12,12.71
179,2.48,0.03,12.74
180,1.81,0.1,12.84
181,2.91,0.05,12.89
182,2.36,0.14,13.03
183,2.15,0.05,13.07
184,1.49,0.03,13.11
185,1.81,0.07,13.18
186,1.86,0.08,13.26
187,2.03,0.04,13.29
188,1.54,0.09,13.38
189,1.64,0.03,13.41
190,1.68,0.05,13.45
