frame,x,y
0,945,732
1,945,732
2,946,731
3,947,732
4,948,732
5,950,732
6,950,732
7,952,732
8,952,732
9,952,733
10,954,733
11,954,736
12,957,739
13,959,741
14,963,745
15,964,746
16,968,749
17,971,749
18,972,750
19,976,752
20,979,754
21,981,754
22,981,752
23,984,751
24,987,751
25,990,752
26,992,758
27,992,759
28,992,765
29,994,775
30,1000,781
31,1010,781
32,1013,780
33,1013,780
34,1004,778
35,1001,774
36,1001,767
37,999,759
38,993,755
39,991,753
40,988,749
41,987,751
42,986,750
43,986,750
44,986,751
45,986,752
46,986,752
47,979,752
48,976,750
49,973,747
50,988,720
51,993,710
52,985,729
53,979,733
54,982,730
55,977,736
56,979,740
57,979,743
58,984,743
59,985,744
60,985,747
61,984,748
62,990,747
63,992,747
64,993,747
65,992,747
66,998,749
67,1006,751
68,1014,754
69,1017,757
70,1017,758
71,1017,765
72,1017,773
73,1018,776
74,1026,779
75,1028,779
76,1031,780
77,1033,780
78,1034,780
79,1035,776
80,1037,776
81,1038,776
82,1038,777
83,1043,783
84,1044,789
85,1045,797
86,1051,799
87,1053,801
88,1054,801
89,1053,802
90,1045,799
91,1040,793
92,1032,789
93,1029,788
94,1021,785
95,1006,780
96,988,780
97,971,783
98,960,783
99,956,783
100,943,784
101,927,783
102,921,783
103,915,783
104,910,781
105,908,782
106,902,781
107,895,779
108,883,777
109,886,773
110,892,771
111,895,770
112,901,769
113,903,766
114,900,765
115,899,762
116,907,762
117,910,762
118,913,762
119,917,767
120,923,769
121,928,773
122,930,776
123,932,776
124,933,777
125,936,775
126,939,771
127,937,768
128,933,766
129,931,765
130,935,766
131,935,769
132,936,773
133,935,774
134,936,773
135,935,774
136,934,771
137,928,766
138,917,755
139,909,748
140,904,736
141,903,732
142,897,731
143,889,733
144,872,733
145,862,734
146,852,734
147,849,734
148,840,732
149,831,730
150,819,727
151,811,725
152,799,724
153,796,723
154,789,721
155,775,720
156,768,716
157,766,714
158,772,711
159,774,711
160,780,711
161,788,710
162,797,707
163,809,702
164,817,703
165,821,703
166,810,704
167,816,707
168,827,706
169,833,709
170,837,707
171,838,707
172,843,707
173,849,707
174,856,706
175,863,710
176,868,715
177,870,717
178,872,722
179,874,723
180,879,727
181,882,729
182,881,735
183,881,737
184,878,738
185,881,741
186,886,744
187,891,744
188,899,747
189,903,747
190,904,749
191,913,752
192,919,757
193,926,767
194,934,777
195,937,780
196,941,784
197,948,794
198,958,801
199,970,816
200,983,826
201,987,831
202,1004,835
203,1022,833
204,1037,835
205,1056,833
206,1065,836
207,1068,836
208,1072,835
209,1085,832
210,1101,826
211,1113,831
212,1123,839
213,1127,842
214,1133,859
215,1144,884
216,1151,900
217,1167,906
218,1187,912
219,1194,913
220,1212,911
221,1224,907
222,1228,902
223,1227,896
224,1226,907
225,1225,911
226,1227,917
227,1227,919
228,1228,919
229,1228,919
230,1227,918
231,1227,916
232,1225,914
233,1225,910
234,1226,899
235,1226,887
236,1223,875
237,1221,870
238,1221,865
239,1217,861
240,1209,857
241,1201,852
242,1198,840
243,1198,835
244,1191,824
245,1182,818
246,1174,815
247,1166,814
248,1159,812
249,1157,812
250,1144,810
251,1128,810
252,1116,809
253,1106,808
254,1102,804
255,1100,802
256,1096,799
257,1090,797
258,1082,794
259,1073,790
260,1066,787
261,1064,785
262,1067,780
263,1072,775
264,1076,771
265,1077,768
266,1075,765
267,1075,764
268,1070,764
269,1062,765
270,1054,768
271,1048,769
272,1044,772
273,1043,771
274,1042,773
275,1042,772
276,1042,771
277,1041,772
278,1040,773
279,1040,773
280,1040,772
281,1039,772
282,1039,778
283,1038,782
284,1036,784
285,1035,785
286,1033,783
287,1025,779
288,1022,771
289,1025,765
290,1024,758
291,1024,755
292,1019,737
293,1017,726
294,1013,723
295,1010,717
296,1009,723
297,1009,726
298,1010,728
299,995,727
300,986,721
301,985,720
302,988,725
303,989,728
304,992,728
305,997,726
306,997,713
307,1000,697
308,1003,687
309,1004,714
310,1004,706
311,1006,709
312,1008,703
313,1011,704
314,1012,698
315,1013,697
316,1014,697
317,1015,699
318,1015,708
319,1018,712
320,1023,717
321,1024,719
322,1025,721
323,1024,722
324,1021,723
325,1017,726
326,1011,730
327,1009,731
328,1001,731
329,997,729
330,995,730
331,992,730
332,991,732
333,991,735
334,992,739
335,992,745
336,995,753
337,1001,762
338,1002,770
339,1002,772
340,998,778
341,994,784
342,991,788
343,989,792
344,993,794
345,994,793
346,998,793
347,1001,792
348,1002,790
349,1003,789
350,1004,791
351,1004,791
352,994,795
353,984,798
354,981,804
355,980,810
356,980,812
357,979,813
358,980,816
359,983,816
360,985,818
361,1001,822
362,1025,827
363,1033,827
364,1044,830
365,1069,830
366,1089,831
367,1107,832
368,1121,829
369,1126,829
370,1140,832
371,1151,833
372,1156,833
373,1164,830
374,1178,827
375,1183,828
376,1201,832
377,1214,831
378,1226,840
379,1236,843
380,1248,844
381,1252,846
382,1249,842
383,1249,836
384,1248,827
385,1247,821
386,1248,817
387,1247,814
388,1247,811
389,1245,808
390,1238,805
391,1224,800
392,1208,796
393,1202,796
394,1192,796
395,1184,800
396,1172,803
397,1160,804
398,1154,805
399,1151,805
400,1153,804
401,1147,798
402,1136,796
403,1125,789
404,1108,785
405,1102,783
406,1095,784
407,1087,784
408,1077,788
409,1069,791
410,1059,793
411,1055,793
412,1044,794
413,1036,795
414,1033,796
415,1025,799
416,1007,807
417,1000,810
418,989,816
419,982,822
420,974,825
421,965,829
422,957,834
423,954,835
424,947,839
425,935,844
426,924,854
427,910,866
428,897,879
429,893,882
430,887,889
431,866,892
432,845,894
433,838,894
434,836,892
435,836,891
436,849,890
437,858,887
438,862,884
439,861,881
440,865,876
441,867,874
442,869,875
443,872,875
444,874,877
445,876,877
446,879,876
447,881,875
448,883,872
449,887,866
450,897,859
451,907,848
452,913,839
453,916,837
454,921,834
455,923,828
456,923,827
457,923,829
458,928,828
459,930,828
460,934,826
461,936,824
462,942,818
463,951,809
464,964,798
465,968,794
466,981,791
467,988,789
468,995,787
469,1001,784
470,1012,783
471,1015,782
472,1020,781
473,1024,780
474,1022,777
475,1005,775
476,990,776
477,984,775
478,982,774
479,982,771
480,982,769
481,982,767
482,983,764
483,983,763
484,985,758
485,987,754
486,990,751
487,990,750
488,990,749
489,990,748
490,990,748
491,992,748
492,996,752
493,998,752
494,1002,752
495,1004,752
496,1005,751
497,1007,751
498,1011,751
499,1018,751
500,1023,752
501,1024,752
502,1025,751
503,1021,750
504,1014,749
505,1009,749
506,1009,755
507,1009,757
508,1014,761
509,1015,769
510,1017,775
511,1003,778
512,1001,781
513,1001,782
514,997,781
515,997,779
516,1001,777
517,1006,773
518,1006,772
519,1006,771
520,1008,770
521,1014,770
522,1023,769
523,1031,770
524,1041,768
525,1045,766
526,1058,765
527,1072,762
528,1088,760
529,1101,755
530,1109,753
531,1111,752
532,1116,755
533,1120,760
534,1125,768
535,1124,774
536,1126,778
537,1125,779
538,1124,779
539,1126,779
540,1131,778
541,1135,775
542,1135,774
543,1135,773
544,1132,775
545,1128,778
546,1125,783
547,1123,786
548,1116,793
549,1113,795
550,1106,798
551,1098,801
552,1093,801
553,1089,802
554,1091,797
555,1091,796
556,1083,792
557,1064,789
558,1049,785
559,1037,781
560,1030,777
561,1028,776
562,1024,776
563,1011,775
564,991,776
565,980,778
566,969,777
567,965,775
568,960,776
569,949,776
570,941,778
571,936,779
572,934,777
573,933,777
574,931,775
575,930,775
576,930,773
577,929,770
578,928,769
579,928,769
580,929,768
581,932,768
582,934,768
583,937,768
584,934,769
585,933,769
586,946,770
587,948,769
588,950,769
589,961,768
590,972,767
591,976,766
592,976,767
593,976,772
594,976,776
595,975,783
596,975,785
597,974,786
598,973,785
599,971,783
600,967,782
601,969,782
602,969,784
603,969,784
604,969,785
605,967,788
606,967,798
607,964,806
608,962,817
609,961,821
610,961,825
611,961,827
612,938,827
613,935,825
614,929,822
615,927,822
616,919,818
617,913,818
618,911,819
619,898,823
620,888,832
621,884,836
622,877,839
623,866,845
624,850,851
625,834,861
626,822,874
627,818,879
628,813,885
629,812,888
630,816,886
631,820,883
632,821,881
633,822,879
634,823,877
635,831,873
636,837,871
637,844,865
638,853,866
639,856,868
640,860,868
641,863,871
642,867,871
643,869,869
644,871,866
645,873,863
646,874,856
647,876,849
648,879,841
649,882,835
650,887,828
651,889,826
652,894,824
653,903,822
654,909,822
655,914,824
656,919,823
657,921,822
658,923,822
659,926,819
660,934,816
661,945,816
662,953,813
663,955,812
664,959,807
665,960,801
666,962,798
667,967,794
668,972,791
669,974,790
670,978,787
671,985,785
672,992,783
673,1000,783
674,1015,783
675,1020,784
676,1014,784
677,1015,785
678,1023,786
679,1030,786
680,1034,785
681,1035,784
682,1038,785
683,1041,785
684,1044,783
685,1045,782
686,1044,780
687,1044,779
688,1043,779
689,1040,779
690,1037,781
691,1034,782
692,1032,783
693,1031,783
694,1032,786
695,1033,786
696,1034,784
697,1040,786
698,1049,787
699,1053,787
700,1062,790
701,1072,792
702,1083,793
703,1087,799
704,1097,803
705,1101,803
706,1108,811
707,1121,813
708,1135,814
709,1152,816
710,1168,816
711,1174,816
712,1180,815
713,1183,809
714,1189,804
715,1198,798
716,1205,787
717,1208,784
718,1209,798
719,1210,807
720,1213,828
721,1216,848
722,1220,861
723,1221,866
724,1224,867
725,1228,866
726,1237,867
727,1243,865
728,1252,865
729,1255,865
730,1254,864
731,1251,863
732,1251,860
733,1251,860
734,1249,858
735,1248,857
736,1247,853
737,1242,848
738,1231,843
739,1215,840
740,1194,835
741,1187,833
742,1170,832
743,1151,829
744,1136,827
745,1124,823
746,1109,820
747,1103,820
748,1093,808
749,1077,801
750,1056,798
751,1033,797
752,1012,794
753,1004,794
754,994,792
755,982,790
756,971,788
757,959,787
758,946,786
759,941,785
760,933,784
761,921,784
762,909,784
763,901,784
764,893,782
765,891,781
766,884,780
767,877,779
768,871,777
769,867,767
770,868,763
771,868,761
772,871,756
773,876,752
774,879,748
775,884,748
776,887,747
777,889,746
778,890,747
779,890,748
780,891,747
781,890,747
782,890,746
783,888,745
784,883,745
785,884,745
786,888,747
787,890,749
788,890,753
789,890,753
790,895,758
791,900,761
792,896,769
793,893,775
794,893,777
795,892,778
796,892,779
797,893,781
798,893,781
799,895,779
800,898,779
801,899,779
802,903,780
803,910,783
804,912,788
805,913,796
806,911,802
807,910,803
808,912,807
809,909,808
810,908,810
811,910,812
812,893,819
813,887,820
814,874,827
815,881,833
816,852,837
817,835,840
818,827,845
819,824,845
820,818,849
821,808,851
822,803,850
823,799,850
824,791,849
825,788,848
826,780,846
827,770,844
829,751,845
830,744,845
831,741,846
832,740,846
833,735,845
834,732,849
835,731,854
836,730,858
837,730,859
838,729,858
839,730,857
840,729,854
841,729,851
842,728,848
843,728,847
844,727,843
845,729,836
846,737,831
847,748,823
848,756,813
849,759,810
850,762,807
851,767,805
852,768,801
853,772,797
854,777,793
855,779,792
856,781,790
857,785,790
858,792,788
859,802,781
860,813,773
861,817,769
862,823,767
863,831,761
864,838,756
865,843,754
866,847,756
867,848,756
868,850,758
869,855,760
870,855,762
871,858,763
872,884,764
873,893,765
874,898,765
875,897,764
876,899,767
877,903,772
878,908,777
879,909,780
880,916,783
881,926,787
882,934,789
883,950,791
884,955,793
885,956,794
886,961,798
887,964,808
888,966,817
889,970,822
890,974,828
891,976,830
892,982,834
893,985,836
894,994,837
895,1004,835
896,1015,837
897,1019,838
898,1026,840
899,1036,840
900,1047,843
901,1054,850
902,1063,854
903,1066,855
904,1076,856
905,1085,857
906,1097,857
907,1106,858
908,1107,857
909,1107,856
910,1105,855
911,1098,854
912,1091,855
913,1089,858
914,1090,860
915,1091,861
916,1092,863
917,1090,864
918,1084,865
919,1075,866
920,1062,864
921,1057,863
922,1053,861
923,1051,860
924,1049,860
925,1048,859
926,1048,860
927,1047,861
928,1045,860
929,1042,862
930,1039,862
931,1038,861
932,1036,859
933,1035,859
934,1032,855
935,1028,850
936,1023,847
937,1020,846
938,1018,844
939,1017,843
940,1016,844
941,1016,841
942,1017,838
943,1017,834
944,1017,830
945,1017,829
946,1016,824
947,1015,820
948,1012,819
949,1004,817
950,1001,815
951,999,814
952,1001,816
953,1001,819
954,1001,825
955,1003,828
956,1003,829
957,1003,830
958,998,832
959,989,830
960,973,827
961,970,828
962,959,828
963,954,828
964,932,827
965,916,826
966,882,825
967,861,825
968,844,826
969,839,826
970,827,826
971,810,823
972,800,821
973,789,819
974,778,817
975,774,816
976,767,814
977,756,815
978,729,813
979,727,810
980,713,811
981,709,812
982,704,812
983,692,801
984,687,799
985,683,795
986,688,804
987,690,806
988,690,806
989,691,806
990,691,807
991,690,807
992,688,809
993,687,809
994,687,809
995,687,810
996,687,810
997,684,809
998,679,805
999,678,805
1000,676,806
1001,678,806
1002,681,806
1003,682,803
1004,686,801
1005,688,799
1006,693,798
1007,697,795
1008,706,795
1009,711,794
1010,713,792
1011,714,792
1012,720,791
1013,732,792
1014,750,792
1015,770,791
1016,790,792
1017,798,793
1018,812,793
1019,823,796
1020,826,801
1021,831,803
1022,842,806
1023,847,808
1024,853,811
1025,863,814
1026,877,815
1027,887,817
1028,898,816
1029,901,816
1030,907,821
1031,923,829
1032,930,835
1033,949,838
1034,966,839
1035,972,840
1036,992,839
1037,1006,841
1038,1015,840
1039,1021,840
1040,1035,840
1041,1040,840
1042,1056,842
1043,1070,841
1044,1082,842
1045,1093,846
1046,1103,850
1047,1106,851
1048,1122,852
1049,1142,853
1050,1158,854
1051,1165,853
1052,1163,852
1053,1161,851
1054,1154,851
1055,1153,849
1056,1154,849
1057,1157,848
1058,1149,847
1059,1146,847
1060,1144,848
1061,1132,856
1062,1120,862
1063,1112,864
1064,1111,864
1065,1111,866
1066,1112,864
1067,1112,862
1068,1109,857
1069,1105,856
1070,1102,852
1071,1101,852
1072,1097,851
1073,1091,850
1074,1086,847
1075,1081,848
1076,1077,846
1077,1075,846
1078,1072,845
1079,1071,842
1080,1070,841
1081,1069,836
1082,1065,831
1083,1064,830
1084,1062,823
1085,1059,816
1086,1053,814
1087,1048,810
1088,1039,808
1089,1036,806
1090,1031,807
1091,1031,808
1092,1030,810
1093,1032,809
1094,1032,806
1095,1032,804
1096,1031,802
1097,1031,801
1098,1030,802
1099,1028,803
1100,1025,804
1101,1025,805
1102,1022,806
1103,1018,809
1104,1014,810
1105,1006,811
1106,997,811
1107,993,811
1108,982,810
1109,971,811
1110,959,813
1111,944,813
1112,934,818
1113,931,821
1114,923,827
1115,917,831
1116,909,834
1117,903,836
1118,899,839
1119,898,840
1120,892,843
1121,882,846
1122,872,850
1123,865,853
1124,858,861
1125,856,865
1126,853,875
1127,840,879
1128,827,881
1129,812,881
1130,809,882
1131,807,881
1132,809,881
1133,811,880
1134,816,878
1135,815,877
1136,814,876
1137,814,875
1138,814,874
1139,813,875
1140,814,875
1141,816,874
1142,822,872
1143,823,873
1144,827,873
1145,831,871
1146,834,871
1147,836,871
1148,836,869
1149,837,869
1150,839,866
1151,846,859
1152,850,852
1153,853,847
1154,854,844
1155,854,844
1156,857,841
1157,860,842
1158,863,841
1159,867,840
1160,869,835
1161,870,834
1162,873,836
1163,875,831
1164,875,826
1165,883,820
1166,889,815
1167,891,812
1168,894,809
1169,902,804
1170,908,801
1171,912,799
1172,924,797
1173,928,796
1174,936,797
1175,942,799
1176,948,800
1177,956,801
1178,958,802
1179,959,803
1180,960,803
1181,962,802
1182,961,799
1183,963,797
1184,973,796
1185,976,797
1186,992,795
1187,1015,793
1188,1038,794
1189,1059,792
1190,1072,791
1191,1077,791
1192,1080,790
1193,1086,791
1194,1093,789
1195,1100,786
1196,1102,785
1197,1102,783
1198,1106,783
1199,1117,782
1200,1124,781
1201,1136,780
1202,1142,778
1203,1145,779
1204,1143,775
1205,1146,769
1206,1149,763
1207,1153,757
1208,1160,748
1209,1162,745
1210,1164,744
1211,1165,743
1212,1165,740
1213,1161,738
1214,1156,738
1215,1155,738
1216,1152,739
1217,1150,740
1218,1153,740
1219,1151,741
1220,1145,742
1221,1143,741
1222,1140,740
1223,1137,740
1224,1134,741
1225,1131,743
1226,1128,747
1227,1126,748
1228,1123,752
1229,1120,757
1230,1119,764
1231,1116,767
1232,1116,770
1233,1116,771
1234,1114,771
1235,1112,772
1236,1108,775
1237,1096,781
1238,1083,787
1239,1078,791
1240,1067,798
1241,1058,807
1242,1052,815
1243,1048,818
1244,1047,818
1245,1046,819
1246,1048,819
1247,1050,816
1248,1051,817
1249,1052,815
1250,1051,815
1251,1051,814
1252,1052,815
1253,1051,815
1254,1048,814
1255,1046,813
1256,1047,813
1257,1048,812
1258,1049,813
1259,1049,817
1260,1047,819
1261,1041,822
1262,1035,821
1263,1033,820
1264,1024,820
1265,1014,820
1266,1004,820
1267,994,817
1268,987,816
1269,984,815
1270,985,814
1271,988,813
1272,989,809
1273,989,808
1274,988,806
1275,988,804
1276,985,803
1277,980,799
1278,974,796
1279,966,797
1280,958,796
1281,955,796
1282,950,798
1283,944,801
1284,938,803
1285,936,800
1286,936,799
1287,937,798
1288,939,798
1289,941,796
1290,940,797
1291,937,798
1292,934,801
1293,933,802
1294,935,805
1295,936,808
1296,936,812
1297,937,814
1298,942,817
1299,943,817
1300,945,818
1301,961,816
1302,962,815
1303,970,814
1304,984,814
1305,990,814
1306,986,815
1307,986,814
1308,1010,813
1309,1024,813
1310,1034,813
1311,1037,814
1312,1039,815
1313,1037,814
1314,1029,815
1315,1027,815
1316,1026,815
1317,1026,814
1318,1025,814
1319,1026,814
1320,1028,813
1321,1030,814
1322,1027,815
1323,1025,816
1324,1023,819
1325,1022,822
1326,1016,821
1327,1013,823
1328,1014,823
1329,1014,823
1330,1015,825
1331,1015,825
1332,1015,825
1333,1013,827
1334,1009,827
1335,1007,827
1336,1003,825
1337,993,826
1338,984,825
1339,978,825
1340,974,826
1341,973,825
1342,971,823
1343,969,820
1344,968,819
1345,968,815
1346,965,812
1347,964,811
1348,963,807
1349,962,804
1350,962,802
1351,962,803
1352,961,806
1353,961,805
1354,959,809
1355,959,812
1356,958,815
1357,959,816
1358,958,816
1359,959,815
1360,960,813
1361,963,808
1362,972,804
1363,985,798
1364,997,794
1365,1001,792
1366,1024,790
1367,1038,789
1368,1049,789
1369,1056,788
1370,1062,787
1371,1064,786
1372,1064,787
1373,1062,787
1374,1065,784
1375,1066,783
1376,1071,783
1377,1072,783
1378,1078,781
1379,1082,780
1380,1091,777
1381,1095,774
1382,1099,765
1383,1100,762
1384,1102,760
1385,1103,756
1386,1104,749
1387,1104,747
1388,1103,750
1389,1102,751
1390,1101,752
1391,1098,754
1392,1098,756
1393,1099,757
1394,1101,756
1395,1101,756
1396,1100,756
1397,1099,755
1398,1099,753
1399,1098,752
1400,1095,751
1401,1094,750
1402,1092,754
1403,1086,756
1404,1080,759
1405,1075,765
1406,1071,770
1407,1070,771
1408,1067,774
1409,1063,775
1410,1059,775
1411,1055,773
1412,1052,773
1413,1051,772
1414,1046,775
1415,1036,780
1416,1019,786
1417,1010,793
1418,1006,798
1419,1004,800
1420,1003,802
1421,1002,804
1422,1003,806
1423,1004,806
1424,1014,809
1425,1018,808
1426,1033,812
1427,1044,816
1428,1053,820
1429,1056,821
1430,1059,820
1431,1060,821
1432,1060,833
1433,1063,835
1434,1066,838
1435,1072,839
1436,1080,828
1437,1082,824
1438,1090,824
1439,1099,823
1441,1116,817
1442,1121,813
1443,1122,811
1444,1124,808
1445,1125,805
1446,1126,803
1447,1128,803
1448,1130,800
1449,1131,799
1450,1132,798
1451,1130,794
1452,1126,790
